62	0	1	0
144	0	2	0
145	0	3	0
51	0	4	0
143	0	5	0
142	0	6	0
76	0	7	0
70	0	8	0
72	1	1	1
69	1	1	2
86	1	1	3
44	1	1	4
79	1	1	5
87	1	1	6
82	1	1	7
84	1	2	1
78	1	2	2
67	1	2	3
54	1	2	4
85	1	2	5
77	1	2	6
90	1	2	7
88	1	3	1
73	1	3	2
83	1	3	3
35	1	3	4
89	1	3	5
65	1	3	6
32	1	3	7
38	1	4	1
39	1	4	2
43	1	4	3
45	1	4	4
53	1	4	5
46	1	4	6
48	1	4	7
141	1	5	1
147	1	5	2
137	1	5	3
139	1	5	4
136	1	5	5
140	1	5	6
138	1	5	7
91	1	6	1
130	1	6	2
133	1	6	3
131	1	6	4
134	1	6	5
132	1	6	6
146	1	6	7
125	1	7	1
129	1	7	2
128	1	7	3
119	1	7	4
127	1	7	5
126	1	7	6
135	1	7	7
115	1	8	1
40	1	8	2
101	1	8	3
96	1	8	4
98	1	8	5
95	1	8	6
105	1	8	7
75	1	9	1
59	1	9	4
71	1	9	3
64	1	9	2
55	1	9	5
63	1	9	6
66	1	9	7
122	1	10	1
104	1	10	2
100	1	10	3
106	1	10	4
123	1	10	5
34	1	10	6
113	1	10	7
99	1	11	1
121	1	11	2
114	1	11	3
94	1	11	4
97	1	11	5
111	1	11	6
37	1	11	7
124	1	12	1
108	1	12	2
109	1	12	3
102	1	12	4
118	1	12	5
107	1	12	6
120	1	12	7
